ciudades,x,y
Ciudad de Villa de Ãlvarez,0.439007,0.261517
Venustiano Carranza,0.47475,0.308423
Valtierrilla,0.525107,0.331449
ValparaÃ­so,0.44453,0.45516
Valle de Santiago,0.523077,0.323754
Valle de Bravo,0.557885,0.257462
Uruapan,0.494468,0.269473
Uriangato,0.523296,0.309805
Tuxpan,0.450945,0.277454
Trancoso,0.484245,0.453187
TototlÃ¡n,0.470198,0.331987
Torreon,0.449523,0.608449
TonalÃ¡,0.455617,0.336535
Tlaquepaque,0.45367,0.337445
Tlajomulco de ZÃºÃ±iga,0.448614,0.328231
TizapÃ¡n el Alto,0.461893,0.310939
Tijuana,0.00140984,0.993085
TesistÃ¡n,0.447842,0.346267
Tequila,0.435777,0.350769
Tepic,0.400811,0.385455
TepatitlÃ¡n de Morelos,0.471146,0.347174
Tepalcatepec,0.468315,0.257064
Teocaltiche,0.47738,0.381293
Tejupilco de Hidalgo,0.557265,0.241482
Tecuala,0.38226,0.434573
Tecpan de Galeana,0.541152,0.148514
Tecoman,0.434386,0.242147
Tecate,0.0138992,0.996648
Tecalitlan,0.45321,0.272826
Tarimoro,0.537362,0.317885
TangancÃ­cuaro de Arista,0.489523,0.295792
Tamazula de Gordiano,0.455051,0.284336
Tala,0.440223,0.338146
TacÃ¡mbaro de Codallos,0.514201,0.259737
Estado de Sonora,0.210447,0.817903
Sombrerete,0.442152,0.502919
Soledad DÃ­ez GutiÃ©rrez,0.531233,0.422945
Estado de Sinaloa,0.314904,0.578386
Silao,0.515231,0.354173
Sayula,0.443543,0.295511
Saucillo,0.387681,0.745894
Santiago Papasquiaro,0.383544,0.580812
Santiago Ixcuintla,0.390495,0.402227
Santiago,0.557288,0.601895
Santa Rosalia,0.157637,0.70775
Santa Rosa Jauregui,0.547511,0.342989
Santa MarÃ­a del RÃ­o,0.537954,0.401299
Santa Isabel,0.119618,0.760841
Santa Cruz del Valle,0.44905,0.331499
Santa Cruz de las Flores,0.446759,0.328582
Santa Catarina,0.547191,0.615599
Santa BÃ¡rbara,0.370354,0.678169
Santa Anita,0.448699,0.33247
Santa Anita,0.44883,0.332451
Santa Ana Pacueco,0.495808,0.321212
Santa Ana,0.195465,0.884746
San SebastiÃ¡n el Grande,0.449599,0.330578
San Pedro,0.456197,0.602338
San NicolÃ¡s de los Garza,0.552334,0.619381
San Miguel Octopan,0.537636,0.333762
San Miguel el Alto,0.482999,0.358957
San Miguel de Papasquiaro,0.386274,0.569033
San Miguel de Allende,0.537765,0.35261
San Luis RÃ­o Colorado,0.0750308,0.99051
Estado de San Luis PotosÃ­,0.54581,0.440203
San Luis PotosÃ­,0.530004,0.420847
San Luis de la Paz,0.545269,0.373798
San Luis de la Paz,0.545257,0.373757
Cabo San Lucas,0.235328,0.461808
San JuliÃ¡n,0.490401,0.357897
San Juan de los Lagos,0.485384,0.371051
San Juan de la Vega,0.537187,0.336577
San Juan de Abajo,0.391052,0.347059
San JosÃ© Iturbide,0.549631,0.357378
San JosÃ© del Castillo,0.455494,0.330433
San JosÃ© del Cabo,0.242409,0.471094
San Gabriel,0.430357,0.289123
San Francisco del RincÃ³n,0.501108,0.358312
San Felipe,0.0728099,0.91139
San Felipe,0.522194,0.383701
Tlaltenango de SÃ¡nchez RomÃ¡n,0.453349,0.400528
San Buenaventura,0.51121,0.692356
NicolÃ¡s R Casillas,0.447965,0.33222
Salvatierra,0.533301,0.313765
Saltillo,0.529142,0.601778
Salinas de Hidalgo,0.505759,0.447275
Salamanca,0.522999,0.333634
Sahuayo de Morelos,0.47272,0.305258
Sabinas Hidalgo,0.556304,0.661494
